months_as_customer,age,policy_deductable,policy_annual_premium,insured_zip,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
239,41,1000,1325.44,474898,51400,-6300,22,1,0,2,10790,1660,830,8300,2013,-1.4906376568527189,0.27577078154845425,0.1484242907370589,-0.1982644433494787,-0.14948580289441557,0.10190161658582436,-0.20153367859702337,-0.10573571772419994,-0.07669682138774264,-0.11415976049878457,-0.7494501923508742,-0.8920933278136549,-0.1354894431599885,-0.052656992413644736,0.17374773462629964,0.09679670365398851,0.021561230570741163
108,31,2000,1175.7,608767,0,0,14,1,0,2,57330,6370,6370,44590,2006,-2.164319520861535,-0.3225535106151823,-0.4652741505335616,-0.0654826401208839,0.15722987887811077,-0.20907755104077,0.049914061715639745,-0.40403708033132035,0.3322657214007418,-0.05088309834409245,0.19776173741936642,0.2800113176841726,-0.038056344348376125,0.5383941377696762,0.11885240789153802,-0.14207028707679514,-0.37473240890628434
116,30,500,951.46,467227,0,-35500,8,3,0,3,59670,6630,6630,46410,2004,-2.107402480639378,-0.29370316950439423,-0.7470138116747614,-0.08984602614437169,0.12164515197887525,0.1515567227966709,-0.3243071183939993,-0.19064519069867206,-0.08406311507729981,-0.02570861204746678,-0.04930242735178425,0.7492906065308974,0.14877572508665984,-0.040801797598431895,-0.3573726209266684,-0.13465787821671388,0.14168803057911286
8,21,500,1021.9,464237,0,0,21,1,0,0,91260,14040,14040,63180,2012,-2.1083838089190703,0.34810326342975445,-0.9996500084042883,-0.21120902785994747,0.3688517273121544,-0.18549744106599295,-0.7405434697488363,-0.43158217207773053,-0.06287268765303282,-0.5432713540723478,-0.3169197653832257,0.5999458074694455,0.006989858888702093,0.0625055892673593,-0.5285888654540851,0.06366190095708399,0.031562490264816126
161,38,2000,1133.85,439870,60200,0,0,3,2,2,60480,5040,15120,40320,2003,-2.1412583062887642,0.3182465057980309,-0.08780143897979949,0.6153226916977024,-0.2967898873486124,-0.31610324895113234,0.3309193618961165,0.10485261492628205,0.03807231211326256,0.17275483335417222,0.39727590587402306,0.6141091226102737,0.5085904817268432,-0.09949550735140827,-0.11456872001482321,0.16787005777696284,0.027769709285757838
407,55,1000,1250.08,474598,0,-57700,0,3,2,3,68160,11360,11360,45440,2010,-1.8424438451224356,0.12586913814824674,0.371983441859036,-0.42367282263120387,-0.41704646902252274,-0.020317352802779305,-0.24522672847541596,-0.06325430848914514,-0.37655532378990564,0.5104233052139118,-0.5067625343201521,-0.13021808268990495,-0.18541438025318868,-0.5413865435302395,0.12183592716062899,-0.48967990780156717,-0.21773555820683377
96,30,500,1399.27,448913,38900,-48700,22,1,0,0,53440,0,6680,46760,2004,-1.7173244894616573,0.2892728600617859,-0.019743479819091705,0.210739407904464,-0.6472730803451823,-0.15141952439984913,-0.0032321622841452527,-0.28574989564369835,0.38301387191825875,0.05023620714619383,-0.2210716041316223,0.3159438640262925,-0.8436002666881787,0.08312219223903095,0.5293567995607624,0.16688680344289666,-0.4915404142071488
282,46,2000,1558.86,450800,51100,-75100,2,1,2,2,69400,13880,6940,48580,2012,-2.2266338666220014,0.49648738696307143,0.0798898250020587,0.46005827551009143,0.09250960051319197,0.44978348740003976,-0.07636040598428685,-0.5244192548031656,0.5291692061848527,-0.36093511174434856,-0.16770618518064243,-0.028515844105148652,-0.3705266997580542,0.4836965307186928,-0.17813307911900297,0.27935815646631523,0.03447629422912096
146,31,1000,1457.65,606219,0,0,0,3,1,3,52380,5820,5820,40740,2010,-1.748726994411814,-0.4037844922501191,0.6061531384396251,-0.46633138330626706,-0.612318310764517,0.29608430018955595,-0.04990307725362596,0.02399380761318007,-0.13286700212581642,0.6004337001098713,-0.5122115248812733,-0.36562378583654287,-0.05225791049005224,-0.4574018911083173,0.044909837232073715,-0.6869613791829452,-0.17442693848887592
371,54,2000,1317.97,469853,34700,-81000,18,3,1,2,32280,5380,5380,21520,2010,-2.135861000750457,0.19735277797932427,-0.845885383658132,-0.31432665322438974,0.2460660916958522,-0.10673914366893318,-0.49644726608410483,-0.6776790459090763,-0.35390795460334473,-0.2564709956874975,-0.1663842790481449,0.5691087168252753,0.25044574699969924,0.19868831777599813,-0.3048330435221431,0.09056791897724374,0.0815295930808927
